NB;NAME;NAME_MOD;COUNTRY;LATITUDE;LONGITUDE;FOUNDATION;Mi;My;Pn;AUTH_ANC;AUTH_MOD;DOC1_Papers;DOC2_papers;DOC3_www;DOC4_www;WIKIPEDIA;PLEIADES;DARE;TRISMEGISTOS;TOPOSText;AM;PP;RE;SI;SU;PS;BW;QU;PL;MO;CN;SL;SH;SY;EX;LK;PH;HO;VM;FT;FP;QR;FO;SW
1843;Abdera, archaic northwest port ;Avdira, in Thrace, east of R Nestos delta;GR: North-East;40,94661;24,96961;-655;;;;"Scylax, Peripl ; Scymnos, Periodos ; Herodotus, Hist, 6, 4-48";Tiverios, Flemming, Loven, Blackman, Mauro, Hansen;Samiou (1993);;https://www2.rgzm.de/navis2/home/frames.htm;;https://en.wikipedia.org/wiki/Abdera,_Thrace;http://pleiades.stoa.org/places/501323;http://imperium.ahlfeldt.se/places/22034;https://www.trismegistos.org/place/14;https://topostext.org/place/410250PAbd;a;;r;X;;;;;;;;X;X;;;;;;;;;;;
1844;Abdera, south port ;Avdira, in Thrace, inside modern Limenas Avdiron marina;GR: North-East;40,93130;24,97050;-500;;;;"Scylax, Peripl ; Scymnos, Periodos ; Herodotus, Hist, 6, 4-49";Tiverios, Flemming, Loven, Blackman, Mauro, Hansen, Ginalis et al;Samiou (1993);;https://www2.rgzm.de/navis2/home/frames.htm;;https://en.wikipedia.org/wiki/Abdera,_Thrace;http://pleiades.stoa.org/places/501324;http://imperium.ahlfeldt.se/places/22035;https://www.trismegistos.org/place/14;https://topostext.org/place/410250PAbd;a;;r;;;X;X;;;;;;;;;;;;;;;;;
1844,1;Abdera, east port;Avdira, in Thrace, at Agios Giannis;GR: North-East;40,93550;24,98840;-655;;;;"Scylax, Peripl ; Scymnos, Periodos ; Herodotus, Hist, 6, 4-48";Tiverios, Flemming, Loven, Blackman, Mauro, Hansen;Samiou (1993);;https://www2.rgzm.de/navis2/home/frames.htm;;https://en.wikipedia.org/wiki/Abdera,_Thrace;http://pleiades.stoa.org/places/501323;http://imperium.ahlfeldt.se/places/22034;https://www.trismegistos.org/place/14;https://topostext.org/place/410250PAbd;a;;rs;;;;;X;;;;;;;;;;;;;;;;
1845;Peritheorion, Anastasioupolis, on Lacus Bistonis;Buru Kala, on Lake Vistonis;GR: North-East;41,08590;25,10590;;;;;;Ginalis et al;;;;https://en.wikipedia.org/wiki/Lake_Vistonida;https://en.wikipedia.org/wiki/Anastasiopolis-Peritheorion;http://pleiades.stoa.org/places/501348;http://imperium.ahlfeldt.se/places/32297;;https://topostext.org/place/411251UAna;m;;;;;;;;;;;;;;;;;;;;;;;
1845,1;Xantheia ;near Lake Vistonis;GR: North-East;41,02200;25,16200;-550;;;;;;;;;https://en.wikipedia.org/wiki/Lake_Vistonida;;http://pleiades.stoa.org/places/501661;http://imperium.ahlfeldt.se/places/32417;;https://topostext.org/place/410252UXan;m;;;;;;;;;;;;;;;;;;;;;;;
1846;Dicaea, Dikaia, Dicee ;south of Porto Lagos, near Xanthia;GR: North-East;40,97820;25,15040;-750;;;;"Scylax, Peripl ; Strabo, Geogr, 7, 8";Tiverios, Flemming, Hansen;;;;;https://en.wikipedia.org/wiki/Dicaea_(Thrace);http://pleiades.stoa.org/places/501399;http://imperium.ahlfeldt.se/places/32316;https://www.trismegistos.org/place/58910;https://topostext.org/place/410252PDik;a;p;;X;;;;;;;;;;;;;;;;;;;;
1847;Stryme, near R Lissos;Stryme, near R Lissos;GR: North-East;40,93660;25,28230;-550;;;;Demosthenes, Apollodorus/Polycles, 20;Tiverios, Mauro, Ginalis et al;;;;;https://en.wikipedia.org/wiki/Stryme;http://pleiades.stoa.org/places/501628;http://imperium.ahlfeldt.se/places/32406;https://www.trismegistos.org/place/15636;https://topostext.org/place/409253PStr;a;;;;;;;;;;;;;;;;;;;;;;;
1847,1;Ismaros, Ismara, near R Lissos;Imeros? near R Lissos;GR: North-East;40,95770;25,37020;-550;;;;;Tiverios;;;;;https://en.wikipedia.org/wiki/Ismarus_(Thrace);http://pleiades.stoa.org/places/507409%C2%A0;;https://www.trismegistos.org/place/15635;https://topostext.org/place/410254UIsm;m;;;;;;;;;;;;;;;;;;;;;;;
1848;Maroneia, Maronee;Agios Charalambos, south of Maroneia;GR: North-East;40,87400;25,51200;-750;;;;"Scylax, Peripl ; Scymnos, Periodos ; Demosthenes, Apollodorus/Polycles, 20";Flemming, Cuisenier, Mauro, Hansen, Ginalis et al;;;;;https://en.wikipedia.org/wiki/Maroneia;http://pleiades.stoa.org/places/501507;http://imperium.ahlfeldt.se/places/24864;https://www.trismegistos.org/place/1313;https://topostext.org/place/409255PMar;a;p;;;;X;;;;;;;;;;;;;;;;;;
1848,1;Synaxis;Synaxis;GR: North-East;40,86100;25,55300;;;;;;;;;;;;;;https://www.trismegistos.org/place/58553;https://topostext.org/place/409255ESyn;m;;;;;;;;;;;;;;;;;;;;;;;
1848,2;near Synaxis;near Synaxis;GR: North-East;40,86290;25,57800;;;;;;Ginalis et al;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
1849;Mesembria, near Serreios Akra Prom.;near Mesembria;GR: North-East;40,86200;25,63000;-510;;;;;Tiverios, Hansen;;;;;https://en.wikipedia.org/wiki/Mesambria_(Aegean_Sea);http://pleiades.stoa.org/places/501516;http://imperium.ahlfeldt.se/places/32362;https://www.trismegistos.org/place/37086;https://topostext.org/place/409256UMes;m;;;;;;;;;;;;;;;;;;;;;;;
1849,1;Zone;near Mesembria;;40,86340;25,63800;-750;;;;Scylax, Peripl;Tiverios, Hansen;;;;;https://en.wikipedia.org/wiki/Zone_(colony);http://pleiades.stoa.org/places/501667;http://imperium.ahlfeldt.se/places/25830;https://www.trismegistos.org/place/38416;https://topostext.org/place/409256PZon;a;;;;;;;;;;;;;;;;;;;;;;;
1850;Drys ;Mesembria;GR: North-East;40,85430;25,67340;-550;;;;Scylax, Peripl;Tiverios, Hansen, Ginalis et al;;;;;https://en.wikipedia.org/wiki/Drys_(Thrace);http://pleiades.stoa.org/places/501406;http://imperium.ahlfeldt.se/places/32320;https://www.trismegistos.org/place/38346;https://topostext.org/place/409257PDry;a;;;;;;;;;;;;;;;;;;;;;;;
1851;Dikella ;Dikella ;GR: North-East;40,84594;25,71072; ;;;;;Tiverios;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
1852;Cyclops Cave;Makri, Roman fort, with Neolithic settlement;GR: North-East;40,84870;25,74610;-6000;;;;;;;;;;https://en.wikipedia.org/wiki/Cyclops_Cave_(Youra);;;;https://topostext.org/place/408257XMak;m;p;;;;X;;;;;;;;;;;;;;;;;X;
1853;Sale;Alexandroupoli;GR: North-East;40,84490;25,87890;-550;;;;Ovid, Tristes, 1, 10;Hansen, Ginalis et al;;;;;https://en.wikipedia.org/wiki/Sale_(Thrace);http://pleiades.stoa.org/places/501595;http://imperium.ahlfeldt.se/places/32394;https://www.trismegistos.org/place/50308;https://topostext.org/place/408259PSal;a;;;;;X;;;;;;;;;;;;;;;;;;
1853,1;Tempyra;Near Apalos?;GR: North-East;40,86000;25,96000;-550;;;;;;;;;;;http://pleiades.stoa.org/places/507472;;;https://topostext.org/place/409260UTem;m;;;X;;;;;;;;;;;;;;;;;;;;
1854;Trajanopolis, Traianoupolis;Loutra Traianopolis;GR: North-East;40,86530;26,03300;-50;;;;;;;;;;https://en.wikipedia.org/wiki/Traianoupoli;http://pleiades.stoa.org/places/501649;http://imperium.ahlfeldt.se/places/32411;https://www.trismegistos.org/place/38413;https://topostext.org/place/409260UTra;m;;;X;;;;;;;;;;;;;;;;;;;;
1855;Doriscos, Doris, on R Hebros;Doriskos, on R Maritsa, Evros, Mariç;GR: North-East;40,87360;26,16400;-750;X?;;;"Scylax, Peripl ; Herodotus, Hist, 5, 98 ; Diodorus, Hist, 11, 1";Mauro;;;http://antiquatedantiquarian.blogspot.fr/2015/04/the-minoans-international-trade.html;;https://en.wikipedia.org/wiki/Doriscus;http://pleiades.stoa.org/places/501402;http://imperium.ahlfeldt.se/places/32318;https://www.trismegistos.org/place/15981;https://topostext.org/place/409262UDor;a;;;X;;;;;;;;;;;;;;;;;;;;
1856;Kremmyon, Krommyon, Crommyon;near Agio Theodori;GR: Pelop;37,92000;23,14000;-750;;;;"Thucydides, Pelop, 4, 45 ; Scylax, Peripl";Flemming;;;;;https://en.wikipedia.org/wiki/Crommyon;http://pleiades.stoa.org/places/570386;http://imperium.ahlfeldt.se/places/28522;https://www.trismegistos.org/place/54411;https://topostext.org/place/380231UKro;a;;;;;X;;;;;;;;;;;;;;;;;;
1857;Sidous, Sidus;Sousaki;GR: Pelop;37,91330;23,08200;-750;;;;"Scylax, Peripl ; Stephanus, Ethnica";;;;;;https://en.wikipedia.org/wiki/Sidus_(Corinthia);http://pleiades.stoa.org/places/570671;http://imperium.ahlfeldt.se/places/31065;;https://topostext.org/place/379231USid;a;;;;;X;;;;;;;;;;;;;;;;;;
1858;Schoenitas, Schoenus, Schoinous, with Diolkos ship-transfer trackway;Schoenitas;GR: Pelop;37,91910;23,00640;-750;;;;"Thucydides, Pelop, 3, 15 & 8, 8 ; Mela, Geogr, 2, 3 ; Pliny, Hist Nat, 4, 9 ; Strabo, Geogr, 8, 6 & 9, 1 ; Ptol, Geogr, 3, 16";Lehmann;;;;https://topostext.org/place/379230LDio;https://en.wikipedia.org/wiki/Schoenus_(Corinthia);http://pleiades.stoa.org/places/570656;http://imperium.ahlfeldt.se/places/31061;;https://topostext.org/place/379230USch;a;;rs;;;X;X;;;;;;;;;;;;;;;;;
1859;Kenchreai, Cenchrees, port of Corinth;Kechries;GR: Pelop;37,88286;22,99450;-750;;;;"Scylax, Peripl ; Thucydides, Pelop, 4, 42 & 8, 10-23 ;  Xenophon, Helleniques, 7, 4 ; Polybius, Hist, 4, 3 ; Pausanias, Grece, 2, 2 ; Apuleius, Ane d’Or, 10, 35 ; Diodorus, Hist, 15, 68 ; Livy, Hist, 32, 17 ; Bible, Acts, 18:18 ; Strabo, Geogr, 8, 6 ;Philo, in Flaccum, 155 ; Plutarch, Caton, 38 ;Ptol, Geogr, 3, 16 ; Ovid, Tristes, 1, 10 ; Florus, Hist, 2, 16";Lehmann, Flemming, Theodoulou, Blackman, Christiansen, Mauro, Trethewey, Huissen, Grimaldi, Ginalis et al;Bouras (2016);Scranton (1978);Kolaiti (2016);https://www2.rgzm.de/navis2/home/frames.htm;https://en.wikipedia.org/wiki/Kechries;http://pleiades.stoa.org/places/570347;http://imperium.ahlfeldt.se/places/21953;https://www.trismegistos.org/place/15748;https://topostext.org/place/379230HKen;a;;rs;;-1,6;X;X;X;;;;;;;;;X?;X;;X?;X?;;;
1859,1;Landing beach between Chersonese and Rheitus, Reitou, Rhitum, in 425 BC, south of Helen's bath;Beach south of Loutra Oreas Elenis;GR: Pelop;37,86200;22,99900;-425;;;;Thucydides, Pelop, 4, 42;;;;;;;http://pleiades.stoa.org/places/570176;http://imperium.ahlfeldt.se/places/21953.html;;;a;;;;;;;;;;;;;;;;;;;;;;;
1859,2;;Lychnari bay, near Kato Vayia fort;GR: Pelop;37,84000;23,06450;-2500;;;;;;Tartaron (2006);;Caraher (2010);;;;;;https://topostext.org/place/378231FLyc;m;;;;;X;;;;;;;;;;;;;;;;;X;
1860;Bucephalum, Bucephalas portus, Boukephalos ;Fragolimano? Frankolimano, Porto Frango, near the border between Corinth and Argolid;GR: Pelop;37,84200;23,11500;-750;;;;"Ptol, Geogr, 3, 16 ; Stephanus, Ethnica";Ginalis et al;;;;;;http://pleiades.stoa.org/places/570161;http://imperium.ahlfeldt.se/places/27415;;https://topostext.org/place/378231UBou;a;;;;;;;;;;;;;;;;;;;;;;;
1860,1;Anthedos, Anthedus, Athenaion, Atheniensium portus, north of Spiraion, Spireum Prom.;Megalo Amoni, Pefkali?;GR: Pelop;37,83300;23,13140;;;;;"Pliny, Hist Nat, 4, 9 ; Ptol, Geogr, 3, 16";Tardieu's port of the Athenians;;;;;https://pleiades.stoa.org/places/573128;https://pleiades.stoa.org/places/573097;;;https://topostext.org/place/378232HAnt;a;;;;;;;;;;;;;;;;;;;;;;;
1861;;Aghios Petros islet?;GR: Pelop;37,76100;23,17200;;;;;Thucydides, Pelop, 8, 11;;;;;;;;;;;a;;;;;;;;;;;;;;;;;;;;;;;
1862;;Kalamianos, at Cape Trelli;GR: Pelop;37,75830;23,15410;-2500;;X;;;Tartaron;Tartaron (2011);Mourtzas (2022);;;;https://pleiades.stoa.org/places/458012868;;;https://topostext.org/place/378232UKal;m;;rs;;X;;;;;;;;;;;;;;;;;;;
1863;Speiraion, south of Spiraion, Spireum Prom.;Korfos;GR: Pelop;37,76200;23,12700; ;;X;;Thucydides, Pelop, 8, 10-20;Mauro;;;;;;https://pleiades.stoa.org/places/573532;;;https://topostext.org/place/378231HSpi;a;;;;;X;;;;;;;;;;;;;;;;;;
1864;Epidaurum in Argolid;Palaia Epidauros;GR: Pelop;37,63731;23,16028;-1500;;X;;"Thucydides, Pelop, 2, 56 & 4, 45 & 8, 92 ; Scylax, Peripl ; Scymnos, Periodos ; Ovid, Metamorphoses, 15, 680-744 ; Pausanias, Grece, 2, 29 ; Stephanus, Ethnica";Lehmann, Flemming, Mauro, Ginalis et al;Kolaiti (2016);;;;https://en.wikipedia.org/wiki/Epidaurus;http://pleiades.stoa.org/places/570228;http://imperium.ahlfeldt.se/places/21954;https://www.trismegistos.org/place/650;https://topostext.org/place/376232PEpi;a;;r;;-1,7;X;;X;;;;;;;;;;;;;;;;
1864,1;;Submerged Roman Villa of the Dolia, at Gialasi;GR: Pelop;37,62580;23,15770;-30;;;;;;Davidde (2019);Kolaiti (2016);;;;;;;https://topostext.org/place/376232XDoV;m;;;;X;;;;;;;;;;;;;;X;;;;;
1864,2;Pityonesos insula;Agkistrion, on the isle of Angistri, Agkistri;GR: Pelop;37,71280;23,34820;;;;;;Ginalis et al;;;;;https://en.wikipedia.org/wiki/Agistri;http://pleiades.stoa.org/places/570614;http://imperium.ahlfeldt.se/places/41228;https://www.trismegistos.org/place/60747;https://topostext.org/place/377233IPit;m;;;;;;;;;;;;;;;;;;;;;;;
1865;Aigina, Aegina, Enopia, Oinone insula, archaic harbour;north of Kolonna hill, on Isle of Egina;GR: Pelop;37,75140;23,42260;-2500;X?;X;;"Thucydides, Pelop, 1, 105-108 & 7, 26 & 8, 92 ; Xenophon, Helleniques, 5, 1 ; Scylax, Peripl ; Scymnos, Periodos ; Ovid, Metamorphoses, 7, 490-493 ; Pausanias, Grece, 2, 29 ; Diodorus, Hist, 11, 9";Pauly, Lehmann, Mauro, Dawson, Tartaron, Hansen, Grimaldi;Knoblauch (1973);Georgiou (2021);Mourtzas (2013);Sheppard Baird (2011);https://en.wikipedia.org/wiki/Aegina;http://pleiades.stoa.org/places/579853;http://imperium.ahlfeldt.se/places/21936;https://www.trismegistos.org/place/77;https://topostext.org/place/379234HKry;a;;rs;;;;X;;;;;;;;;;;;;;;;;
1866;Aigina, Aegina, Enopia, Oinone insula, Kryptos Limen, Hidden Harbour, naval base ;south of Kolonna hill, on Isle of Egina;GR: Pelop;37,74765;23,42464;-2500;X?;X;;"Thucydides, Pelop, 1, 105 & 108 ; Xenophon, Helleniques, 5, 1 ; Scylax, Peripl ; Scymnos, Periodos ; Ovid, Metamorphoses, 7, 490-493 ; Pausanias, Grece, 2, 29 ; Diodorus, Hist, 11, 9";Pauly, Lehmann, Blackman, Loven, Mauro, Dawson, Tartaron, Hansen, Grimaldi;Knoblauch (1973);Georgiou (2021);Mourtzas (2013);Sheppard Baird (2011);https://en.wikipedia.org/wiki/Aegina;http://pleiades.stoa.org/places/579853;http://imperium.ahlfeldt.se/places/21936;https://www.trismegistos.org/place/77;https://topostext.org/place/377234HAiM;a;;rs;;-1,6;;X;X;;;;X;X;;;X?;;;;;;;;
1867;Aigina, Aegina, Enopia, Oinone insula, commercial port;Modern marina, on Isle of Egina;GR: Pelop;37,74500;23,42790;-750;;;X;"Xenophon, Helleniques, 5, 1 ; Scylax, Peripl ; Scymnos, Periodos ; Ovid, Metamorphoses, 7, 490-493 ; Pausanias, Grece, 2, 29 ; Diodorus, Hist, 11, 9 ; Demosthenes, Euthycles/Aristocrate, 211";Pauly, Lehmann, Blackman, Loven, Mauro, Dawson, Tartaron, Markoe, Hansen, Grimaldi, Ginalis et al;Knoblauch (1973);Georgiou (2021);;;;http://pleiades.stoa.org/places/579853;http://imperium.ahlfeldt.se/places/21936;https://www.trismegistos.org/place/77;https://topostext.org/place/378234PAig;a;;rs;;;X;;;;;;;;;;;;;;;;;;
1868;;Submerged Roman villa at Psifta;GR: Pelop;37,53300;23,33000;-30;;;;;;Kolaiti (2016);;;;;;;;;m;;;;-1,8;;;;;;;;;;;;;;X;;;;;
1868,1;"""Small harbour"" near Stenita isthmus";near Kastro Favierou castle;GR: Pelop;37,56080;23,36150;;;;;THI 150;;Gill (2007);;;;;;;;;a;;;;;X;;;;;;;;;;;;;;;;;X;
1869;Methana, Arsinoe ;Palaiokastro, near Magalochori;GR: Pelop;37,58580;23,34750;-750;;;;;Cohen, Ginalis et al;Gill (2007);Kolaiti (2016);;;https://en.wikipedia.org/wiki/Methana;http://pleiades.stoa.org/places/570482;http://imperium.ahlfeldt.se/places/21927;https://www.trismegistos.org/place/3606;https://topostext.org/place/376234PMet;m;p;;;-1,6;X;;;;;;;;;;;;;;;;;;
1869,1;Port of Methana?;Vathy;GR: Pelop;37,59270;23,33760;;;;;;;Gill (2007);;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
1869,2;Thermae ;Agios Nikolaos?;GR: Pelop;37,63929;23,35281; ;;;;;Flemming;;;;;;;;;;m;;;;;X;;;;;;;;;;;;;;;;;;
1869,3;;Agios Konstantinos;GR: Pelop;37,59330;23,40150;;;X;;;;;;;;https://en.wikipedia.org/wiki/Methana;;;;https://topostext.org/place/376234XAKo;m;;;;;;;;;;;;;;;;;;;;;;;
1870;Methana, Arsinoe, naval base;Methana, with fort on Nisaki island;GR: Pelop;37,57656;23,38887; ;;;;Thucydides, Pelop, 4, 45;;Gill (2007);;;;https://en.wikipedia.org/wiki/Methana;;;;https://topostext.org/place/376234FMeN;a;p;;;;X;;;;;;;;;;;;;;;;;X;
1871;Celenderis, Kelenderis;near Trezen, Trezene?;GR: Pelop;37,51623;23,39423; ;;;;Pausanias, Grece, 2, 32;Flemming;;;;;;https://pleiades.stoa.org/places/573281;;;;a;;;;;X;;;;;;;;;;;;;;;;;;
1872;Pohon, Pogon, Pogonus, port of Troizen;Port of the Trezenians, port of Calauria;GR: Pelop;37,50996;23,39385;-750;;;;"Thucydides, Pelop, 2, 56 ; Scylax, Peripl ; Herodotus, Hist, 8, 42 ; Mela, Geogr, 2, 3 ; Strabo, Geogr, 8, 6";Mauro;;;;;;http://pleiades.stoa.org/places/570622;http://imperium.ahlfeldt.se/places/21926;https://www.trismegistos.org/place/60793;https://topostext.org/place/378233HPog;a;;r;;;X;;;;;;;;;;;;;;;;;;
1872,1;;Megali Magoula, BA settlement;GR: Pelop;37,50200;23,42320;-1500;;X;;;;;;;;;;;;https://topostext.org/place/375234XMMa;m;;;;;;;;;;;;;;;;;;;;;;;
1873;Port of Posedion, naval base, on Kalaureia, Kalauria, Calauria insula, Calauree ;Agios Nektarios, near Bay of Vagionia on the isle of Poros;GR: Pelop;37,53154;23,48393;-750;;;;"Scylax, Peripl ; Demosthenes, Apollodorus/Thimotheus, 13-14 & 48-49";Lehmann, Flemming, Blackman, Mauro, Dawson, Hansen, Ginalis et al;Kolaiti (2016);;http://www.kalaureia.org/;;https://en.wikipedia.org/wiki/Kalaureia;http://pleiades.stoa.org/places/570325;http://imperium.ahlfeldt.se/places/41227;https://www.trismegistos.org/place/971;https://topostext.org/place/375235IKal;a;p;r;;-1,6;X;;;;;;X?;X?;;;;;;;;;;;
1873,1;;Kavo Vasili, BA settlement on the isle of Poros;GR: Pelop;37,52400;23,51090;-3000;;X;;;;;;;;;;;;https://topostext.org/place/375235XKVa;m;;;;;;;;;;;;;;;;;;;;;;;
1873,2;;Nisis Modi island, near Poros island;GR: Pelop;37,50850;23,52960;;;X;;;;;;;;;;;;https://topostext.org/place/375235XMod;m;;;;;;;;;;;;;;;;;;;;;;;
1873,3;;Lazaretto islet, near Poros island;GR: Pelop;37,49000;23,47050;;;;;;;Nikos Mourtzas (2022);;;http://www.poros.nu/sightsee/bourtzi/pp/pp.htm;;;;;;m;;;;;;;;;;;X?;;;;;;;;;;;;
1874;Hydra, Hydrea, Hydroussa insula;Ydra, on the isle of Idra;GR: Pelop;37,35040;23,46600;-3000;;X;;Plutarch, Cimon, 18;Flemming, Dawson, Ginalis et al;;;;;https://en.wikipedia.org/wiki/Hydra_(island);http://pleiades.stoa.org/places/570299;http://imperium.ahlfeldt.se/places/41225;https://www.trismegistos.org/place/37921;https://topostext.org/place/373235IHyd;a;p;;;;X;;;;;;;;;;;;;;;;;;
1875;;Mycenaean fort at Choriza, on the isle of Idra;GR: Pelop;37,34360;23,44960;-3000;;X;;;;;;;;;;;https://www.trismegistos.org/place/37921;https://topostext.org/place/373234XVly;m;;;;;;;;;;;;;;;;;;;;;;X;
1875,1;;Port of Episkopi, on the isle of Idra;GR: Pelop;37,31170;23,43930;-3000;;X;;;;;;;;;;;https://www.trismegistos.org/place/37921;https://topostext.org/place/373234XEpi;m;;;;;;;;;;;;;;;;;;;;;;;
1876;Aperopia insula;Isle of Dokos;GR: Pelop;37,34470;23,32490;-3000;;X;;;Dawson, Ginalis et al, very old shipwreck (ca 2200 BC) at cape  Myti Kommeni;;;;;https://en.wikipedia.org/wiki/Dokos;http://pleiades.stoa.org/places/570089;http://imperium.ahlfeldt.se/places/43602;https://www.trismegistos.org/place/61205;https://topostext.org/place/373233IApe;m;;;;;X;;;;;;;;;;;;;;;;;;X
1877;Thermasia;Thermisia;GR: Pelop;37,40890;23,32590;-550;;;;;Ginalis et al;;;;;;http://pleiades.stoa.org/places/570724;http://imperium.ahlfeldt.se/places/31083;;https://topostext.org/place/374233UThe;m;;;;;X;;;;;;;;;;;;;;;;;;
1877,1;Hermione, Hermion ;Dardiza;GR: Pelop;37,40233;23,28086;;;;;;;Theodoulou (2012);;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
1878;Hermione, Hermion ;Ermioni;GR: Pelop;37,38608;23,25132;-750;;;;"Thucydides, Pelop, 1, 128 & 131 & 2, 56 ;  Scylax, Peripl ; Pausanias, Grece, 2, 34 ; Stephanus, Ethnica";Lehmann, Flemming, Mauro, Hansen, Ginalis et al;;;;;https://en.wikipedia.org/wiki/Hermione_(Argolis);http://pleiades.stoa.org/places/570292;http://imperium.ahlfeldt.se/places/21925;https://www.trismegistos.org/place/10315;https://topostext.org/place/374232UHer;a;p;;;;X;;;;;;;;;;;;;;;;;;
1878,1;Trikrana insula;Isle of Trikeri;GR: Pelop;37,26790;23,27940;;;;;;Ginalis et al;;;;;https://en.wikipedia.org/wiki/Paleo_Trikeri;http://pleiades.stoa.org/places/570752;http://imperium.ahlfeldt.se/places/41224;https://www.trismegistos.org/place/60744;https://topostext.org/place/373233ITri;m;;;;;;;;;;;;;;;;;;;;;;;
1879;Pityoussa insula;Baltiza bay, Kouzounos, near Spetsai, on Spetses island;GR: Pelop;37,26016;23,16619; ;;X;;;;;;;;https://en.wikipedia.org/wiki/Spetses;http://pleiades.stoa.org/places/570615;http://imperium.ahlfeldt.se/places/43601;https://www.trismegistos.org/place/60759;https://topostext.org/place/373233IPit;m;p;;;;X;;;;;;;;;;;;;;;;;;
1879,1;Pityoussa insula;Agia Marina, BA settlement, on Spetses island;GR: Pelop;37,25310;23,16510;-3000;;X;;;;;;;;https://en.wikipedia.org/wiki/Spetses;;;https://www.trismegistos.org/place/60759;https://topostext.org/place/372232XAMa;m;;;;;;;;;;;;;;;;;;;;;;;
1880;Pityoussa insula;Zokeria bay, on Spetses island;GR: Pelop;37,27650;23,10830; ;;;;;Dawson, Ginalis et al;;;;https://mapcarta.com/N4261032493;https://en.wikipedia.org/wiki/Spetses;http://pleiades.stoa.org/places/570615;http://imperium.ahlfeldt.se/places/43601;https://www.trismegistos.org/place/60759;https://topostext.org/place/373233IPit;m;;;;;;;;;;;;;;;;;;;;;;;
1881;Halai, Halieis, Haliai, Halias, Halice, Alycus;Portocheli;GR: Pelop;37,31600;23,15186;-750;;;;"Thucydides, Pelop, 1, 105 & 2, 56 ; Scylax, Peripl";Lehmann, Theodoulou, Blackman, Flemming, Mauro, Hansen, Ginalis et al;Jameson (1969);Frost (1985);https://www2.rgzm.de/navis2/home/frames.htm;;https://en.wikipedia.org/wiki/Halieis;http://pleiades.stoa.org/places/570274;http://imperium.ahlfeldt.se/places/21924;https://www.trismegistos.org/place/37659;https://topostext.org/place/373231PHal;a;p;rs;;-2,1;X;X;X;;;;;;;;X?;;;;;;;;
1882;Haliuse insula;now connected to the continent at Portocheli?;GR: Pelop;37,32394;23,12627; ;;;;Pausanias, Grece, 2, 34;Blackman;;;;;;;;;;a;;;;;X;;;;;;;;;;;;;;;;;;
1883;Mases?;Lambayanna beach, near Kiladha, Koilada, near Franchthi cave;GR: Pelop;37,41230;23,12830;-750;;;;;Ginalis et al;Spero News (2015);Mourtzas (2022);;;https://en.wikipedia.org/wiki/Mases;http://pleiades.stoa.org/places/570463;http://imperium.ahlfeldt.se/places/31014;https://www.trismegistos.org/place/37922;https://topostext.org/place/374231UMas;m;p;;;-1,5;X;;;;;;;;;;;;;;;;;;
1883,1;Struthos, near Strouthos Prom.;Tuphekares;GR: Pelop;37,46450;23,00800;;;;;;Ginalis et al;;;;;;http://pleiades.stoa.org/places/570694;http://imperium.ahlfeldt.se/places/43598;;https://topostext.org/place/373233LStr;m;;;;;;;;;;;;;;;;;;;;;;;
1883,2;Psili insula;Isle of Psili;GR: Pelop;37,43740;22,99440;;;;;;Ginalis et al;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
1884;Philanorion jetty, Agrioi Limenes, near Strouthos Prom., near R Sellas, near Iria Hellenistic fort;near Iria, on R Rados;GR: Pelop;37,48500;22,98600;-1200;;;;THI 149;Tardieu, famous Iria Mycenaean shipwreck;;;;;;http://pleiades.stoa.org/places/570601;http://imperium.ahlfeldt.se/places/31047;https://www.trismegistos.org/place/37923;https://topostext.org/place/375231UPhi;a;;;;;X;;;;;;;;;;;;;;;;;X;X
1884,1;Plateia insula;Isle of Platia;GR: Pelop;37,49270;22,93330;;;;;;Ginalis et al;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
1885;;Khaidhari, Vivari;GR: Pelop;37,53374;22,92141; ;;;;;AdG;;;;;;;;;;m;p;;;;X;;;;;;;;;;;;;;;;;;
1886;Asine of Argolis;Asini, Tolo;GR: Pelop;37,52700;22,87430;-1500;;X;;;Frost, Lehmann, Flemming, Hansen, Ginalis et al;;;;;https://en.wikipedia.org/wiki/Asine;http://pleiades.stoa.org/places/570124;http://imperium.ahlfeldt.se/places/21923;https://www.trismegistos.org/place/37653;https://topostext.org/place/375229PAsi;m;;rs;;-0,7;X;X;;;;;;;;;;;;;;;;;
1886,1;Eiones, Eion;Tolo?;GR: Pelop;37,51700;22,86200; ;;X;;Strabo, Geogr, 8, 6;;;;;;https://en.wikipedia.org/wiki/Eion_(Argolis);http://pleiades.stoa.org/places/573195;http://imperium.ahlfeldt.se/places/46304;https://www.trismegistos.org/place/60795;https://topostext.org/place/375233UEio;a;;;;;;;;;;;;;;;;;;;;;;;
